id;team;at_home;points_gsqsa;points_opponent;win
1;Milano 3;1;63;54;1
2;Offanengo;0;71;66;1
3;Crema;1;83;53;1
4;Somaglia;0;73;59;1
5;Borghebasket;1;62;52;1
6;Locate;0;81;61;1
7;Dresano;1;64;22;1
8;Baby Santos;0;72;70;1
9;Canottieri;0;64;55;1
10;Vismara;1;58;53;1
11;Aurora;0;61;54;1
12;Milano 3;0;81;77;1
13;Offanengo;1;67;54;1
14;Crema;0;80;58;1
15;Somaglia;1;71;57;1
16;Borghebasket;0;51;53;0
17;Locate;1;82;59;1
18;Dresano;0;85;46;1
19;Baby Santos;1;86;69;1
20;Canottieri;1;79;53;1
21;Vismara;0;63;58;1
